CUSTOMER.custKey : 49801	CUSTOMER.name : Customer#000049801
CUSTOMER.custKey : 49802	CUSTOMER.name : Customer#000049802
CUSTOMER.custKey : 49803	CUSTOMER.name : Customer#000049803
CUSTOMER.custKey : 49804	CUSTOMER.name : Customer#000049804
CUSTOMER.custKey : 49805	CUSTOMER.name : Customer#000049805
CUSTOMER.custKey : 49806	CUSTOMER.name : Customer#000049806
CUSTOMER.custKey : 49807	CUSTOMER.name : Customer#000049807
CUSTOMER.custKey : 49808	CUSTOMER.name : Customer#000049808
CUSTOMER.custKey : 49809	CUSTOMER.name : Customer#000049809
CUSTOMER.custKey : 49810	CUSTOMER.name : Customer#000049810
CUSTOMER.custKey : 49811	CUSTOMER.name : Customer#000049811
CUSTOMER.custKey : 49812	CUSTOMER.name : Customer#000049812
CUSTOMER.custKey : 49813	CUSTOMER.name : Customer#000049813
CUSTOMER.custKey : 49814	CUSTOMER.name : Customer#000049814
CUSTOMER.custKey : 49815	CUSTOMER.name : Customer#000049815
CUSTOMER.custKey : 49816	CUSTOMER.name : Customer#000049816
CUSTOMER.custKey : 49817	CUSTOMER.name : Customer#000049817
CUSTOMER.custKey : 49818	CUSTOMER.name : Customer#000049818
CUSTOMER.custKey : 49819	CUSTOMER.name : Customer#000049819
CUSTOMER.custKey : 49820	CUSTOMER.name : Customer#000049820
CUSTOMER.custKey : 49821	CUSTOMER.name : Customer#000049821
CUSTOMER.custKey : 49822	CUSTOMER.name : Customer#000049822
CUSTOMER.custKey : 49823	CUSTOMER.name : Customer#000049823
CUSTOMER.custKey : 49824	CUSTOMER.name : Customer#000049824
CUSTOMER.custKey : 49825	CUSTOMER.name : Customer#000049825
CUSTOMER.custKey : 49826	CUSTOMER.name : Customer#000049826
CUSTOMER.custKey : 49827	CUSTOMER.name : Customer#000049827
CUSTOMER.custKey : 49828	CUSTOMER.name : Customer#000049828
CUSTOMER.custKey : 49829	CUSTOMER.name : Customer#000049829
CUSTOMER.custKey : 49830	CUSTOMER.name : Customer#000049830
CUSTOMER.custKey : 49831	CUSTOMER.name : Customer#000049831
CUSTOMER.custKey : 49832	CUSTOMER.name : Customer#000049832
CUSTOMER.custKey : 49833	CUSTOMER.name : Customer#000049833
CUSTOMER.custKey : 49834	CUSTOMER.name : Customer#000049834
CUSTOMER.custKey : 49835	CUSTOMER.name : Customer#000049835
CUSTOMER.custKey : 49836	CUSTOMER.name : Customer#000049836
CUSTOMER.custKey : 49837	CUSTOMER.name : Customer#000049837
CUSTOMER.custKey : 49838	CUSTOMER.name : Customer#000049838
CUSTOMER.custKey : 49839	CUSTOMER.name : Customer#000049839
CUSTOMER.custKey : 49840	CUSTOMER.name : Customer#000049840
CUSTOMER.custKey : 49841	CUSTOMER.name : Customer#000049841
CUSTOMER.custKey : 49842	CUSTOMER.name : Customer#000049842
CUSTOMER.custKey : 49843	CUSTOMER.name : Customer#000049843
CUSTOMER.custKey : 49844	CUSTOMER.name : Customer#000049844
CUSTOMER.custKey : 49845	CUSTOMER.name : Customer#000049845
CUSTOMER.custKey : 49846	CUSTOMER.name : Customer#000049846
CUSTOMER.custKey : 49847	CUSTOMER.name : Customer#000049847
CUSTOMER.custKey : 49848	CUSTOMER.name : Customer#000049848
CUSTOMER.custKey : 49849	CUSTOMER.name : Customer#000049849
CUSTOMER.custKey : 49850	CUSTOMER.name : Customer#000049850
CUSTOMER.custKey : 49851	CUSTOMER.name : Customer#000049851
CUSTOMER.custKey : 49852	CUSTOMER.name : Customer#000049852
CUSTOMER.custKey : 49853	CUSTOMER.name : Customer#000049853
CUSTOMER.custKey : 49854	CUSTOMER.name : Customer#000049854
CUSTOMER.custKey : 49855	CUSTOMER.name : Customer#000049855
CUSTOMER.custKey : 49856	CUSTOMER.name : Customer#000049856
CUSTOMER.custKey : 49857	CUSTOMER.name : Customer#000049857
CUSTOMER.custKey : 49858	CUSTOMER.name : Customer#000049858
CUSTOMER.custKey : 49859	CUSTOMER.name : Customer#000049859
CUSTOMER.custKey : 49860	CUSTOMER.name : Customer#000049860
CUSTOMER.custKey : 49861	CUSTOMER.name : Customer#000049861
CUSTOMER.custKey : 49862	CUSTOMER.name : Customer#000049862
CUSTOMER.custKey : 49863	CUSTOMER.name : Customer#000049863
CUSTOMER.custKey : 49864	CUSTOMER.name : Customer#000049864
CUSTOMER.custKey : 49865	CUSTOMER.name : Customer#000049865
CUSTOMER.custKey : 49866	CUSTOMER.name : Customer#000049866
CUSTOMER.custKey : 49867	CUSTOMER.name : Customer#000049867
CUSTOMER.custKey : 49868	CUSTOMER.name : Customer#000049868
CUSTOMER.custKey : 49869	CUSTOMER.name : Customer#000049869
CUSTOMER.custKey : 49870	CUSTOMER.name : Customer#000049870
CUSTOMER.custKey : 49871	CUSTOMER.name : Customer#000049871
CUSTOMER.custKey : 49872	CUSTOMER.name : Customer#000049872
CUSTOMER.custKey : 49873	CUSTOMER.name : Customer#000049873
CUSTOMER.custKey : 49874	CUSTOMER.name : Customer#000049874
CUSTOMER.custKey : 49875	CUSTOMER.name : Customer#000049875
CUSTOMER.custKey : 49876	CUSTOMER.name : Customer#000049876
CUSTOMER.custKey : 49877	CUSTOMER.name : Customer#000049877
CUSTOMER.custKey : 49878	CUSTOMER.name : Customer#000049878
CUSTOMER.custKey : 49879	CUSTOMER.name : Customer#000049879
CUSTOMER.custKey : 49880	CUSTOMER.name : Customer#000049880
CUSTOMER.custKey : 49881	CUSTOMER.name : Customer#000049881
CUSTOMER.custKey : 49882	CUSTOMER.name : Customer#000049882
CUSTOMER.custKey : 49883	CUSTOMER.name : Customer#000049883
CUSTOMER.custKey : 49884	CUSTOMER.name : Customer#000049884
CUSTOMER.custKey : 49885	CUSTOMER.name : Customer#000049885
CUSTOMER.custKey : 49886	CUSTOMER.name : Customer#000049886
CUSTOMER.custKey : 49887	CUSTOMER.name : Customer#000049887
CUSTOMER.custKey : 49888	CUSTOMER.name : Customer#000049888
CUSTOMER.custKey : 49889	CUSTOMER.name : Customer#000049889
CUSTOMER.custKey : 49890	CUSTOMER.name : Customer#000049890
CUSTOMER.custKey : 49891	CUSTOMER.name : Customer#000049891
CUSTOMER.custKey : 49892	CUSTOMER.name : Customer#000049892
CUSTOMER.custKey : 49893	CUSTOMER.name : Customer#000049893
CUSTOMER.custKey : 49894	CUSTOMER.name : Customer#000049894
CUSTOMER.custKey : 49895	CUSTOMER.name : Customer#000049895
CUSTOMER.custKey : 49896	CUSTOMER.name : Customer#000049896
CUSTOMER.custKey : 49897	CUSTOMER.name : Customer#000049897
CUSTOMER.custKey : 49898	CUSTOMER.name : Customer#000049898
CUSTOMER.custKey : 49899	CUSTOMER.name : Customer#000049899
CUSTOMER.custKey : 49900	CUSTOMER.name : Customer#000049900
ORDRE.custKey: 36901	ORDER.comment: nstructions sleep furiously among 
ORDRE.custKey: 78002	ORDER.comment:  foxes. pending accounts at the pending, silent asymptot
ORDRE.custKey: 123314	ORDER.comment: sly final accounts boost. carefully regular ideas cajole carefully. depos
ORDRE.custKey: 136777	ORDER.comment: sits. slyly regular warthogs cajole. regular, regular theodolites acro
ORDRE.custKey: 44485	ORDER.comment: quickly. bold deposits sleep slyly. packages use slyly
ORDRE.custKey: 55624	ORDER.comment: ggle. special, final requests are against the furiously specia
ORDRE.custKey: 39136	ORDER.comment: ly special requests 
ORDRE.custKey: 130057	ORDER.comment: ise blithely bold, regular requests. quickly unusual dep
ORDRE.custKey: 66958	ORDER.comment: uriously. furiously final request
ORDRE.custKey: 61001	ORDER.comment: ly final packages. fluffily final deposits wake blithely ideas. spe
ORDRE.custKey: 127588	ORDER.comment: zzle. carefully enticing deposits nag furio
